prod_id,prod_desc,prod_long_desc,theme_name,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
21134,blah,blahblah,Minecraft™,7.0,4.0,Average,4.1,3.7
21135,blah,blahblah,Minecraft™,1.0,5.0,Challenging,5.0,5.0
21136,blah,blahblah,Minecraft™,2.0,5.0,Easy,5.0,4.0
21137,blah,blahblah,Minecraft™,11.0,4.3,Challenging,4.5,4.2
21138,blah,blahblah,Minecraft™,4.0,5.0,Easy,4.3,2.7
21139,blah,blahblah,Minecraft™,,,nan,,
21140,blah,blahblah,Minecraft™,4.0,4.5,Average,4.5,5.0
21141,blah,blahblah,Minecraft™,2.0,5.0,Average,5.0,4.5
21142,blah,blahblah,Minecraft™,,,nan,,
21143,blah,blahblah,Minecraft™,1.0,5.0,Average,5.0,5.0
21144,blah,blahblah,Minecraft™,4.0,4.7,Easy,4.8,4.3
21307,blah,blahblah,Ideas,51.0,3.3,Average,4.1,4.0
21308,blah,blahblah,Ideas,23.0,3.6,Easy,3.3,2.7
21309,blah,blahblah,Ideas,367.0,4.6,Challenging,4.9,4.9
21310,blah,blahblah,Ideas,79.0,4.8,Average,5.0,4.7
21312,blah,blahblah,Ideas,33.0,4.4,Easy,4.6,4.5
21313,blah,blahblah,Ideas,83.0,3.7,Average,4.5,4.2
21314,blah,blahblah,Ideas,30.0,4.1,Easy,4.4,3.7
31029,blah,blahblah,Creator 3-in-1,4.0,4.0,Average,4.8,4.8
31035,blah,blahblah,Creator 3-in-1,9.0,4.5,Easy,4.4,4.1
31043,blah,blahblah,Creator 3-in-1,2.0,4.0,Easy,5.0,4.5
31046,blah,blahblah,Creator 3-in-1,8.0,4.3,Average,4.6,4.5
31047,blah,blahblah,Creator 3-in-1,7.0,4.8,Average,4.9,4.7
31049,blah,blahblah,Creator 3-in-1,4.0,4.8,Average,5.0,4.8
31051,blah,blahblah,Creator 3-in-1,15.0,4.7,Average,4.7,4.3
31052,blah,blahblah,Creator 3-in-1,23.0,4.7,Average,4.9,4.3
31056,blah,blahblah,Creator 3-in-1,6.0,4.5,Easy,4.5,4.7
31057,blah,blahblah,Creator 3-in-1,1.0,4.0,Easy,4.0,4.0
31058,blah,blahblah,Creator 3-in-1,27.0,4.5,Easy,4.7,4.7
31059,blah,blahblah,Creator 3-in-1,1.0,5.0,Average,5.0,5.0
31060,blah,blahblah,Creator 3-in-1,,,nan,,
31062,blah,blahblah,Creator 3-in-1,9.0,4.5,Average,4.8,4.3
31063,blah,blahblah,Creator 3-in-1,5.0,4.0,Average,4.2,3.4
31064,blah,blahblah,Creator 3-in-1,2.0,5.0,Average,4.5,4.5
31066,blah,blahblah,Creator 3-in-1,12.0,4.3,Easy,4.2,4.4
31067,blah,blahblah,Creator 3-in-1,8.0,4.0,Average,4.6,4.9
31068,blah,blahblah,Creator 3-in-1,10.0,3.2,Average,3.8,3.9
31069,blah,blahblah,Creator 3-in-1,11.0,3.2,Average,3.4,3.2
31070,blah,blahblah,Creator 3-in-1,14.0,4.2,Average,4.5,4.3
31071,blah,blahblah,Creator 3-in-1,1.0,5.0,Average,5.0,5.0
31072,blah,blahblah,Creator 3-in-1,,,nan,,
31073,blah,blahblah,Creator 3-in-1,5.0,4.7,Easy,4.4,5.0
31074,blah,blahblah,Creator 3-in-1,2.0,4.5,Easy,5.0,5.0
31075,blah,blahblah,Creator 3-in-1,1.0,5.0,Easy,4.0,4.0
31076,blah,blahblah,Creator 3-in-1,1.0,5.0,Average,5.0,5.0
31079,blah,blahblah,Creator 3-in-1,5.0,4.0,Easy,4.4,4.2
31080,blah,blahblah,Creator 3-in-1,2.0,4.0,Easy,3.5,4.0
31081,blah,blahblah,Creator 3-in-1,4.0,4.0,Average,4.8,4.3
31313,blah,blahblah,MINDSTORMS®,38.0,4.4,Challenging,4.3,3.7
40171,blah,blahblah,Friends,2.0,5.0,Average,5.0,5.0
40270,blah,blahblah,BrickHeadz,7.0,3.2,Easy,4.9,4.7
40271,blah,blahblah,BrickHeadz,4.0,2.0,Easy,5.0,4.5
40307,blah,blahblah,Disney™,1.0,4.0,Easy,5.0,4.0
40388,blah,blahblah,Disney™,1.0,5.0,Easy,5.0,5.0
41066,blah,blahblah,Disney™,11.0,4.3,Easy,4.0,3.8
41123,blah,blahblah,Friends,2.0,4.5,Easy,5.0,4.5
41124,blah,blahblah,Friends,5.0,5.0,Average,5.0,5.0
41126,blah,blahblah,Friends,5.0,5.0,Average,5.0,5.0
41127,blah,blahblah,Friends,6.0,3.8,Average,4.3,4.0
41128,blah,blahblah,Friends,8.0,4.3,Average,4.5,4.5
41130,blah,blahblah,Friends,17.0,4.8,Average,4.8,4.5
41132,blah,blahblah,Friends,5.0,2.8,Easy,2.8,1.8
41134,blah,blahblah,Friends,5.0,3.8,Easy,2.8,2.4
41142,blah,blahblah,Disney™,1.0,5.0,Very Easy,5.0,5.0
41143,blah,blahblah,Disney™,,,nan,,
41144,blah,blahblah,Disney™,,,nan,,
41145,blah,blahblah,Disney™,2.0,5.0,Average,5.0,4.5
41146,blah,blahblah,Disney™,4.0,4.3,Average,4.8,4.3
41147,blah,blahblah,Disney™,2.0,5.0,Easy,5.0,5.0
41148,blah,blahblah,Disney™,5.0,4.0,Average,4.0,3.8
41149,blah,blahblah,Disney™,2.0,5.0,Challenging,4.5,4.5
41150,blah,blahblah,Disney™,3.0,4.7,Easy,4.7,4.7
41151,blah,blahblah,Disney™,1.0,5.0,Average,5.0,5.0
41152,blah,blahblah,Disney™,3.0,4.7,Easy,4.3,4.3
41153,blah,blahblah,Disney™,3.0,4.3,Average,4.3,3.3
41154,blah,blahblah,Disney™,3.0,4.3,Challenging,4.3,3.3
41155,blah,blahblah,Disney™,,,nan,,
41181,blah,blahblah,Elves,3.0,5.0,Easy,5.0,5.0
41182,blah,blahblah,Elves,4.0,5.0,Average,4.5,5.0
41183,blah,blahblah,Elves,8.0,4.3,Average,4.3,4.4
41185,blah,blahblah,Elves,3.0,5.0,Average,5.0,4.5
41186,blah,blahblah,Elves,2.0,5.0,Average,5.0,3.5
41187,blah,blahblah,Elves,6.0,4.5,Average,4.3,4.2
41188,blah,blahblah,Elves,1.0,,nan,5.0,
41190,blah,blahblah,Elves,2.0,5.0,Easy,5.0,5.0
41191,blah,blahblah,Elves,2.0,5.0,Average,5.0,5.0
41192,blah,blahblah,Elves,2.0,4.0,Average,4.0,3.5
41193,blah,blahblah,Elves,2.0,4.5,Average,5.0,4.5
41194,blah,blahblah,Elves,2.0,5.0,nan,4.5,3.0
41230,blah,blahblah,DC Super Hero Girls,4.0,5.0,Easy,4.5,4.3
41231,blah,blahblah,DC Super Hero Girls,2.0,5.0,Average,5.0,4.5
41232,blah,blahblah,DC Super Hero Girls,7.0,3.7,Average,3.9,3.6
41233,blah,blahblah,DC Super Hero Girls,2.0,4.5,Average,4.0,5.0
41234,blah,blahblah,DC Super Hero Girls,2.0,4.5,Average,4.0,3.5
41237,blah,blahblah,DC Super Hero Girls,1.0,5.0,Average,5.0,5.0
41238,blah,blahblah,DC Super Hero Girls,,,nan,,
41239,blah,blahblah,DC Super Hero Girls,,,nan,,
41300,blah,blahblah,Friends,,,nan,,
41301,blah,blahblah,Friends,1.0,4.0,nan,4.0,4.0
41302,blah,blahblah,Friends,1.0,5.0,Easy,5.0,5.0
41303,blah,blahblah,Friends,1.0,5.0,nan,5.0,5.0
41306,blah,blahblah,Friends,1.0,3.0,Easy,4.0,5.0
41309,blah,blahblah,Friends,,,nan,,
41310,blah,blahblah,Friends,1.0,4.0,Easy,4.0,5.0
41311,blah,blahblah,Friends,7.0,3.8,Easy,4.1,3.7
41312,blah,blahblah,Friends,3.0,4.5,Average,4.7,4.5
41313,blah,blahblah,Friends,6.0,4.8,Easy,4.5,4.0
41314,blah,blahblah,Friends,8.0,4.6,Average,4.1,3.3
41315,blah,blahblah,Friends,4.0,5.0,Easy,4.5,4.8
41316,blah,blahblah,Friends,1.0,5.0,Easy,5.0,5.0
41317,blah,blahblah,Friends,2.0,5.0,Challenging,4.5,5.0
41318,blah,blahblah,Friends,4.0,5.0,Average,4.8,4.0
41319,blah,blahblah,Friends,3.0,5.0,Easy,4.0,4.0
41320,blah,blahblah,Friends,,,nan,,
41322,blah,blahblah,Friends,2.0,5.0,Average,4.5,4.5
41323,blah,blahblah,Friends,4.0,5.0,Average,5.0,4.5
41324,blah,blahblah,Friends,3.0,3.3,Average,3.7,3.7
41325,blah,blahblah,Friends,3.0,4.0,Challenging,3.7,3.0
41326,blah,blahblah,Friends,18.0,2.7,Easy,2.6,2.6
41327,blah,blahblah,Friends,3.0,2.3,Average,3.0,2.7
41328,blah,blahblah,Friends,2.0,4.5,Easy,5.0,5.0
41329,blah,blahblah,Friends,1.0,5.0,Easy,4.0,2.0
41330,blah,blahblah,Friends,,,nan,,
41332,blah,blahblah,Friends,,,nan,,
41333,blah,blahblah,Friends,1.0,5.0,nan,5.0,5.0
41334,blah,blahblah,Friends,1.0,5.0,Average,5.0,5.0
41335,blah,blahblah,Friends,2.0,5.0,Challenging,5.0,5.0
41336,blah,blahblah,Friends,3.0,4.7,Average,2.7,3.3
41338,blah,blahblah,Friends,1.0,4.0,Average,4.0,1.0
41339,blah,blahblah,Friends,,,nan,,
41340,blah,blahblah,Friends,7.0,4.6,Average,4.1,4.0
41485,blah,blahblah,BrickHeadz,2.0,3.0,Easy,4.5,4.0
41486,blah,blahblah,BrickHeadz,3.0,3.5,Very Easy,4.7,4.7
41487,blah,blahblah,BrickHeadz,7.0,4.0,Easy,5.0,4.7
41488,blah,blahblah,BrickHeadz,5.0,3.2,Very Easy,4.4,4.0
41585,blah,blahblah,BrickHeadz,11.0,3.8,Very Easy,4.9,4.7
41586,blah,blahblah,BrickHeadz,9.0,3.5,Easy,4.3,4.6
41587,blah,blahblah,BrickHeadz,10.0,4.3,Very Easy,4.8,4.9
41588,blah,blahblah,BrickHeadz,12.0,3.3,Easy,4.8,4.7
41590,blah,blahblah,BrickHeadz,8.0,4.0,Easy,4.9,4.4
41591,blah,blahblah,BrickHeadz,4.0,3.5,Easy,4.8,4.8
41592,blah,blahblah,BrickHeadz,8.0,3.9,Easy,4.6,4.1
41593,blah,blahblah,BrickHeadz,9.0,3.6,Easy,4.8,4.6
41594,blah,blahblah,BrickHeadz,6.0,3.3,Very Easy,5.0,4.7
41595,blah,blahblah,BrickHeadz,10.0,4.2,Easy,4.8,4.7
41596,blah,blahblah,BrickHeadz,2.0,5.0,Average,5.0,5.0
41597,blah,blahblah,BrickHeadz,13.0,4.7,Average,4.8,4.8
41598,blah,blahblah,BrickHeadz,3.0,2.7,Very Easy,4.0,3.0
41599,blah,blahblah,BrickHeadz,5.0,4.6,Easy,5.0,5.0
41600,blah,blahblah,BrickHeadz,1.0,1.0,Very Easy,4.0,3.0
41601,blah,blahblah,BrickHeadz,2.0,3.5,Easy,5.0,4.0
41602,blah,blahblah,BrickHeadz,3.0,4.5,Easy,5.0,4.5
41603,blah,blahblah,BrickHeadz,5.0,4.3,Easy,5.0,4.8
41604,blah,blahblah,BrickHeadz,3.0,4.0,Average,4.7,4.5
41605,blah,blahblah,BrickHeadz,2.0,3.0,Easy,5.0,5.0
41606,blah,blahblah,BrickHeadz,1.0,5.0,Easy,5.0,5.0
41607,blah,blahblah,BrickHeadz,1.0,,nan,5.0,
41608,blah,blahblah,BrickHeadz,1.0,2.0,Very Easy,4.0,4.0
41609,blah,blahblah,BrickHeadz,1.0,2.0,Very Easy,3.0,4.0
41610,blah,blahblah,BrickHeadz,,,nan,,
41611,blah,blahblah,BrickHeadz,1.0,3.0,Easy,5.0,5.0
41613,blah,blahblah,BrickHeadz,1.0,5.0,Very Easy,5.0,5.0
41614,blah,blahblah,BrickHeadz,1.0,3.0,Easy,5.0,5.0
42031,blah,blahblah,Technic,4.0,3.8,Easy,4.8,4.8
42032,blah,blahblah,Technic,9.0,4.8,Average,4.6,4.6
42033,blah,blahblah,Technic,8.0,4.7,Easy,4.6,4.1
42036,blah,blahblah,Technic,15.0,4.7,Average,4.9,4.6
42037,blah,blahblah,Technic,16.0,4.5,Average,4.6,4.3
42039,blah,blahblah,Technic,23.0,4.6,Challenging,4.8,4.7
42044,blah,blahblah,Technic,5.0,4.6,Average,4.6,4.6
42045,blah,blahblah,Technic,5.0,4.8,Easy,4.8,5.0
